ID;ID Клиента;ID Авто;Начало аренды;Завершение аренды;Статус;Время создания заявки
6;2;6;2025-06-30 10:00:00;2025-07-01 10:00:00;approved;2025-06-20 19:55:58
7;2;6;2026-06-30 10:00:00;2026-07-01 10:00:00;approved;2025-06-20 19:56:25
8;2;6;2027-06-30 10:00:00;2027-07-01 10:00:00;approved;2025-06-21 10:59:04
9;2;5;2027-06-30 10:00:00;2027-07-01 10:00:00;approved;2025-06-21 10:59:50
10;2;4;2027-06-30 10:00:00;2027-07-01 10:00:00;approved;2025-06-21 11:02:33
11;2;3;2027-06-30 10:00:00;2027-07-01 10:00:00;pending;2025-06-21 11:12:01
12;2;2;2027-06-30 10:00:00;2027-07-01 10:00:00;pending;2025-06-21 11:13:29
13;2;3;2026-06-30 10:00:00;2026-07-01 10:00:00;pending;2025-06-21 11:14:07
16;2;4;2026-06-30 10:00:00;2026-07-01 10:00:00;completed;2025-06-21 11:29:34
18;2;2;2026-06-30 10:00:00;2026-07-01 10:00:00;completed;2025-06-21 12:14:37
